Suburb,State,AvgRating,ServiceCount,AboveAverage
ABBOTSBURY,NSW,4.0,1,True
ABBOTSFORD,NSW,4.5,4,True
ABBOTSFORD,VIC,4.4,5,True
ABERDARE,NSW,4.0,1,True
ABERDEEN,NSW,5.0,1,True
ABERFELDIE,VIC,3.0,1,False
ABERFOYLE PARK,SA,4.0,8,True
ABERGLASSLYN,NSW,4.5,2,True
ABERMAIN,NSW,3.75,4,False
ACACIA GARDENS,NSW,4.5,3,True
ACACIA RIDGE,QLD,3.75,8,False
ACTON,ACT,4.6,5,True
ADAMINABY,NSW,4.0,1,True
ADAMSTOWN,NSW,4.2,6,True
ADAMSTOWN HEIGHTS,NSW,4.333333333333333,3,True
ADELAIDE,SA,4.157894736842105,20,True
ADELONG,NSW,4.0,1,True
AEROGLEN,QLD,3.0,1,False
AGNES BANKS,NSW,3.0,1,False
AGNES WATER,QLD,4.0,2,True
AINSLIE,ACT,4.666666666666667,3,True
AINTREE,VIC,4.0,6,True
AIRDS,NSW,4.5,6,True
AIRPORT WEST,VIC,4.6,5,True
AITKENVALE,QLD,4.166666666666667,6,True
ALAWA,NT,4.0,2,True
ALBANVALE,VIC,4.0,2,True
ALBANY,WA,4.0,11,True
ALBANY CREEK,QLD,4.25,12,True
ALBERT PARK,SA,4.0,1,True
ALBERT PARK,VIC,4.6,5,True
ALBERTON,VIC,,1,False
ALBION,VIC,4.0,3,True
ALBION PARK,NSW,4.133333333333334,15,True
ALBION PARK RAIL,NSW,4.4,5,True
ALBURY,NSW,4.0,18,True
ALDERLEY,QLD,5.0,1,True
ALDGATE,SA,4.25,4,True
ALDINGA,SA,3.857142857142857,7,False
ALDINGA BEACH,SA,3.8,5,False
ALEXANDER HEIGHTS,WA,4.5,2,True
ALEXANDRA,VIC,4.5,2,True
ALEXANDRA HEADLAND,QLD,4.0,1,True
ALEXANDRA HILLS,QLD,4.0,11,True
ALEXANDRIA,NSW,4.083333333333333,12,True
ALFORDS POINT,NSW,4.0,2,True
ALFRED COVE,WA,4.0,1,True
ALFREDTON,VIC,4.0,7,True
ALGESTER,QLD,3.6666666666666665,4,False
ALGESTER EAST,QLD,4.0,1,True
