Suburb,State,Latitude,Longitude
ABBOTSBURY,NSW,-33.8692846,150.8667029
ABBOTSFORD,NSW,-33.8505529,151.129759
ABBOTSFORD,VIC,-37.8045508,144.9988542
ABERDARE,NSW,-32.8427754,151.3802736
ABERDEEN,NSW,-32.1668599,150.8919596
ABERFELDIE,VIC,-37.7596196,144.8974571
ABERFOYLE PARK,SA,-35.0705635,138.6011311
ABERGLASSLYN,NSW,-32.6983338,151.5344427
ABERMAIN,NSW,-32.8072172,151.4274977
ACACIA GARDENS,NSW,-33.7324595,150.9125321
ACACIA RIDGE,QLD,-27.5857312,153.025206
ACTON,ACT,-35.2852323,149.1129681
ADAMINABY,NSW,-35.9955556,148.7747222
ADAMSTOWN,NSW,-32.9337786,151.7200237
ADAMSTOWN HEIGHTS,NSW,-32.9488889,151.7108333
ADELAIDE,SA,-34.9281805,138.5999312
ADELONG,NSW,-35.3074897,148.0631466
AEROGLEN,QLD,-16.8762195,145.7641792
AGNES BANKS,NSW,-33.6145082,150.7114482
AGNES WATER,QLD,-24.223913,151.9063163
AINSLIE,ACT,-35.2621952,149.14788
AINTREE,VIC,-37.7193933,144.6694023
AIRDS,NSW,-34.09,150.8261111
AIRPORT WEST,VIC,-37.7222576,144.8834942
AITKENVALE,QLD,-19.298758,146.7694149
ALAWA,NT,-12.3799071,130.8746623
ALBANVALE,VIC,-37.7460824,144.7685623
ALBANY,WA,-35.0247822,117.883608
ALBANY CREEK,QLD,-27.353639,152.9684713
ALBERT PARK,SA,-34.8762326,138.5214767
ALBERT PARK,VIC,-37.8452062,144.957105
ALBERTON,VIC,-38.61588,146.6628948
ALBION,VIC,-37.7772233,144.8243895
ALBION PARK,NSW,-34.5708425,150.7752326
ALBION PARK RAIL,NSW,-34.5625775,150.7978168
ALBURY,NSW,-36.0737734,146.9135265
ALDERLEY,QLD,-27.4232196,153.0008299
ALDGATE,SA,-35.0152371,138.7351789
ALDINGA,SA,-35.2673234,138.4831296
ALDINGA BEACH,SA,-35.279293,138.4604028
ALEXANDER HEIGHTS,WA,-31.8271578,115.865815
ALEXANDRA,VIC,-37.192428,145.710775
ALEXANDRA HEADLAND,QLD,-26.669602,153.101752
ALEXANDRA HILLS,QLD,-27.5232672,153.2214907
ALEXANDRIA,NSW,-33.9091568,151.1921281
ALFORDS POINT,NSW,-33.9839091,151.0241615
ALFRED COVE,WA,-32.0328506,115.8170316
ALFREDTON,VIC,-37.558214,143.7998153
ALGESTER,QLD,-27.6109526,153.0315999
ALGESTER EAST,QLD,-27.6126979,153.0397917
ALICE RIVER,QLD,-19.350223,146.6192233
ALICE SPRINGS,NT,-23.6983884,133.8812885
ALKIMOS,WA,-31.6154224,115.6926511
ALLAMBIE HEIGHTS,NSW,-33.7705067,151.249675
ALLANSFORD,VIC,-38.3862028,142.6001551
ALLAWAH,NSW,-33.9696934,151.1145108
ALLENBY GARDENS,SA,-34.9016148,138.5543914
ALLENDALE EAST,SA,-38.0044384,140.7097527
ALLENSTOWN,QLD,-23.3978775,150.5048066
ALLIGATOR CREEK,QLD,-19.4144695,146.9289212
ALLORA,QLD,-28.020298,151.9865209
ALPHINGTON,VIC,-37.7783921,145.0312833
ALPURRURULAM,NT,-20.9841539,137.8479596
ALSTONVILLE,NSW,-28.8412757,153.4405813
ALTONA,VIC,-37.8671503,144.8294637
ALTONA MEADOWS,VIC,-37.8814419,144.7845482
ALTONA NORTH,VIC,-37.8378229,144.8342853
ALYANGULA,NT,-13.8508884,136.4207639
AMAROO,ACT,-35.169587,149.1280212
AMATA,SA,-26.1517767,131.1469813
AMBARVALE,NSW,-34.0844252,150.8017477
AMBROSE,QLD,-23.8116665,150.8844863
AMPILATWATJA,NT,-21.657646,135.2424834
ANAKIE,QLD,-23.552284,147.7468814
ANAKIE,VIC,-37.9111181,144.2544828
ANDERGROVE,QLD,-21.093191,149.1856476
ANDERGROVE LAKES,QLD,-21.1059163,149.1734322
ANDREWS FARM,SA,-34.6749515,138.6595143
ANGASTON,SA,-34.5027712,139.0490357
ANGLE PARK,SA,-34.8566301,138.5610335
ANGLE VALE,SA,-34.6412198,138.6461526
ANGLESEA,VIC,-38.4051948,144.188958
ANGUS,NSW,-33.6802579,150.8423654
ANNA BAY,NSW,-32.7779061,152.0890203
ANNANDALE,NSW,-33.881224,151.1709976
ANNANDALE,QLD,-19.31014,146.784217
ANNANGROVE,NSW,-33.6574838,150.9460077
ANNERLEY,QLD,-27.5126515,153.0325838
ANSTEAD,QLD,-27.538135,152.8666671
ANULA,NT,-12.3922305,130.8915248
APOLLO BAY,VIC,-38.7547442,143.6691463
APPIN,NSW,-34.2029671,150.7872441
APPLECROSS,WA,-32.0137091,115.8366566
ARALUEN,NT,-23.6970695,133.8520548
ARANA HILLS,QLD,-27.3946225,152.9535026
ARANDA,ACT,-35.2580548,149.0804262
ARARAT,VIC,-37.2834165,142.9319447
ARCADIA,NSW,-33.6227289,151.0605602
ARCADIA VALE,NSW,-33.0605545,151.5842888
ARCHERFIELD,QLD,-27.569486,153.0087254
ARDEER,VIC,-37.7758681,144.8014637
ARDLETHAN,NSW,-34.3483333,146.9011111
ARDMONA,VIC,-36.378979,145.2954055
ARDROSS,WA,-32.0271228,115.8355245
ARDROSSAN,SA,-34.424675,137.915867
ARGENTON,NSW,-32.9352978,151.632185
ARIAH PARK,NSW,-34.3488941,147.2175709
ARMADALE,VIC,-37.8563442,145.0193207
ARMADALE,WA,-32.1791895,116.1066784
ARMIDALE,NSW,-30.5144881,151.6656564
ARMSTRONG CREEK,VIC,-38.2341184,144.3709512
ARNCLIFFE,NSW,-33.938236,151.145508
ARNOLDS CREEK,VIC,-37.6708506,144.5495601
AROONA,QLD,-26.7826045,153.1159508
ARTARMON,NSW,-33.8084051,151.184511
ARUNDEL,QLD,-27.940383,153.3643231
ASCOT,QLD,-27.429703,153.0638907
ASCOT,WA,-31.9386753,115.9250631
ASCOT VALE,VIC,-37.7753252,144.921825
ASCOT VALE WEST,VIC,-37.779766,144.9103795
ASHBURTON,VIC,-37.862047,145.0812907
ASHBURY,NSW,-33.9001107,151.1180724
ASHBY,WA,-31.7311903,115.7975644
ASHCROFT,NSW,-33.915,150.9011111
ASHFIELD,NSW,-33.8894781,151.1274125
ASHFIELD,WA,-31.9127941,115.9360896
ASHFORD,NSW,-29.3257299,151.0945365
ASHGROVE,QLD,-27.44306,152.9827649
ASHMONT,NSW,-35.1244827,147.3325101
ASHMORE,QLD,-27.9881075,153.3724233
ASHTONFIELD,NSW,-32.7744309,151.5999656
ASHWOOD,VIC,-37.866672,145.1022346
ASPENDALE,VIC,-38.0272365,145.1021263
ASPENDALE GARDENS,VIC,-38.0221438,145.11984
ASPLEY,QLD,-27.3656925,153.0169605
ASQUITH,NSW,-33.6884076,151.1078178
ATHELSTONE,SA,-34.8714792,138.7054458
ATHERTON,QLD,-17.2667108,145.4768923
ATTADALE,WA,-32.025346,115.8023457
ATTWOOD,VIC,-37.6670148,144.884862
ATWELL,WA,-32.1484601,115.8659034
AUBIN GROVE,WA,-32.1549359,115.85795
AUBURN,NSW,-33.8545702,151.0255673
AUBURN,SA,-34.026398,138.6859174
AUCHENFLOWER,QLD,-27.474471,152.9949176
AUGATHELLA,QLD,-25.799123,146.5885988
AUGUSTA,WA,-34.3156059,115.1605864
AUGUSTINE HEIGHTS,QLD,-27.660554,152.8792482
AURUKUN,QLD,-13.6020675,141.7706849
AUSTINMER,NSW,-34.3064627,150.9292162
AUSTRAL,NSW,-33.9282672,150.8082824
AUSTRALIND,WA,-33.2807362,115.7204483
AVALON,NSW,-33.6365039,151.3290299
AVALON BEACH,NSW,-33.6365039,151.3290299
AVELEY,WA,-31.787069,115.9862261
AVENEL,VIC,-36.9321825,145.312961
AVOCA,NSW,-34.615,150.4844444
AVOCA,QLD,-24.8835577,152.3086117
AVOCA,VIC,-37.0889278,143.473745
AVOCA BEACH,NSW,-33.465,151.4344444
AVONDALE HEIGHTS,VIC,-37.7614537,144.862141
AVONSLEIGH,VIC,-37.9208356,145.4688212
AXE CREEK,VIC,-36.86351,144.3847022
AXEDALE,VIC,-36.7869388,144.5021542
AYR,QLD,-19.5758597,147.4044626
Angurugu Community,NT,-13.9814515,136.4613002
BABINDA,QLD,-17.3442094,145.9234498
BACCHUS MARSH,VIC,-37.6751897,144.4366202
BADGER CREEK,VIC,-37.7015267,145.5329174
BADU ISLAND,QLD,-10.1204965,142.1408475
BAFFLE CREEK,QLD,-24.473287,151.9042414
BAGDAD,TAS,-42.6089169,147.2208487
BAHRS SCRUB,QLD,-27.7375909,153.1723698
BAIRNSDALE,VIC,-37.8254509,147.6304752
BAKERS HILL,WA,-31.7478262,116.4587992
BAKEWELL,NT,-12.4990159,130.9933354
BALACLAVA,VIC,-37.8695648,144.9935362
BALAKLAVA,SA,-34.1448045,138.4161903
BALCATTA,WA,-31.8709062,115.8198022
BALD HILLS,QLD,-27.3208468,153.0110408
BALDIVIS,WA,-32.3299121,115.8218124
BALGA,WA,-31.8568272,115.8388865
BALGOWLAH,NSW,-33.7944424,151.2608261
BALGOWLAH HEIGHTS,NSW,-33.807495,151.2649923
BALGOWNIE,NSW,-34.3864521,150.8713327
BALLAJURA,WA,-31.8494104,115.9221151
BALLAN,VIC,-37.6039845,144.2142735
BALLARAT,VIC,-37.5623013,143.8605645
BALLARAT CENTRAL,VIC,-37.5627279,143.8501516
BALLARAT EAST,VIC,-37.564603,143.8970466
BALLARAT NORTH,VIC,-37.5372175,143.8647283
BALLINA,NSW,-28.8526847,153.4906247
BALMAIN,NSW,-33.8583992,151.1807353
BALMAIN EAST,NSW,-33.8571789,151.192354
BALMORAL,QLD,-27.456752,153.0687076
BALMORAL,VIC,-37.2480556,141.8410629
BALNARRING,VIC,-38.3707915,145.1171365
BALRANALD,NSW,-34.043943,143.7067653
BALWYN,VIC,-37.8091737,145.0833678
BALWYN NORTH,VIC,-37.7919518,145.0842372
BAMAGA,QLD,-10.8895119,142.3891237
BANDIANA,VIC,-36.131111,146.937203
BANGALOW,NSW,-28.6816667,153.5177778
BANGHOLME,VIC,-38.0483919,145.1720859
BANGOR,NSW,-34.0155034,151.0334872
BANKSIA,NSW,-33.9448646,151.1402066
BANKSIA BEACH,QLD,-27.0444982,153.1378792
BANKSIA GROVE,WA,-31.6954676,115.8034438
BANKSIA PARK,SA,-34.8105248,138.7305864
BANKSTOWN,NSW,-33.9171897,151.0335881
BANKSTOWN AIRPORT,NSW,-33.924274,150.990183
BANNOCKBURN,VIC,-38.0443362,144.1738367
BANORA POINT,NSW,-28.2220841,153.5370661
BANYO,QLD,-27.3745474,153.0774268
BARADINE,NSW,-30.9476609,149.0677138
BARALABA,QLD,-24.288009,149.9315744
BARANDUDA,VIC,-36.184726,146.9509111
BARANGAROO,NSW,-33.8614084,151.2016877
BARCALDINE,QLD,-23.05188,145.8212732
BARDEN RIDGE,NSW,-34.0311727,151.0105268
BARDIA,NSW,-33.9763948,150.8604327
BARDON,QLD,-27.4595395,152.9776502
BARDWELL PARK,NSW,-33.9316025,151.1248844
BARDWELL VALLEY,NSW,-33.937452,151.1304335
BARGARA,QLD,-24.8154799,152.4630414
BARGO,NSW,-34.293747,150.5817842
BARHAM,NSW,-35.6268005,144.1280514
BARMAH TOWN,VIC,,
BARMERA,SA,-34.2532589,140.4579655
BARNAWARTHA,VIC,-36.1054009,146.6735718
BARNSLEY,NSW,-32.9316667,151.5844444
BAROOGA,NSW,-35.9099302,145.694991
BARRABA,NSW,-30.3789718,150.6083511
BARRACK HEIGHTS,NSW,-34.5652021,150.8507363
BARTON,ACT,-35.3072631,149.1404986
BARWON HEADS,VIC,-38.2747705,144.4881352
BASIN VIEW,NSW,-35.0920355,150.5650909
BASS HILL,NSW,-33.8986251,150.9974484
BASSENDEAN,WA,-31.9059155,115.9442686
BATCHELOR,NT,-13.0468045,131.0283583
BATEAU BAY,NSW,-33.3816667,151.4844444
BATEHAVEN,NSW,-35.7318,150.2012
BATEMAN,WA,-32.055541,115.8472485
BATEMANS BAY,NSW,-35.7072183,150.178289
BATHURST,NSW,-33.4166378,149.5804943
BATLOW,NSW,-35.5241507,148.1510821
BATTERY HILL,QLD,-26.778891,153.1299486
BATTERY POINT,TAS,-42.8882045,147.3332835
BAUHINIA,QLD,-24.5684451,149.294022
BAULKHAM HILLS,NSW,-33.7611198,150.9914041
BAXTER,VIC,-38.1940767,145.160507
BAYLES,VIC,-38.1769736,145.573224
BAYNTON,WA,-20.75145,116.8013
BAYSWATER,VIC,-37.841739,145.2681208
BAYSWATER,WA,-31.909036,115.9039135
BAYSWATER NORTH,VIC,-37.8260474,145.2819271
BAYVIEW,NSW,-33.6576847,151.2866735
